version,objetivo_origen_id,objetivo_origen,frecuencia_ejercicios,frecuencia_relaciones,accion,categoria_destino,objetivo_destino_1,objetivo_destino_2,objetivo_destino_3,contexto,formato,confianza,estado_revision,motivo,ejercicio_excepcion,decision_entrenador
v2-final,163,Vigilancias,1,1,UNIFICAR,TD,Vigilancia defensiva,,,,,ALTA,APROBADO,Normalización a singular y explicitación del sentido defensivo.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,164,Remate de cabeza,4,4,MANTENER,TEC,Remate de cabeza,,,,,MEDIA,APROBADO,Decisión conservadora: se mantiene la acción técnica original en ABP y fútbol tenis sin fusionarla con Juego aéreo.,,APROBADA_SEGUN_INFORME
v2-final,165,Despeje orientado,4,4,MANTENER,TEC,Despeje orientado,,,,,ALTA,APROBADO,Acción técnica específica y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,166,Anticipación,3,3,MANTENER,TD,Anticipación,,,,,ALTA,APROBADO,Principio defensivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,167,Marcas,1,1,UNIFICAR,TD,Marcaje,,,,,ALTA,APROBADO,Unificación de variante léxica con Marcaje.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,169,Defensa en zona,2,3,UNIFICAR,MOD,Defensa zonal,,,,,ALTA,APROBADO,Normalización nominal del modelo defensivo.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,172,Defensa combinada,1,1,MANTENER,MOD,Defensa combinada,,,,,ALTA,APROBADO,Modelo defensivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,173,Activación,2,3,MANTENER,CP,Activación,,,,,ALTA,APROBADO,Concepto de preparación válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,174,Asignación de tareas,1,1,REUBICAR,,,,,Asignación de roles y reglas de organización,,ALTA,CONTEXTO,En Juego de las Casas organiza roles y reglas; no es un objetivo de entrenamiento independiente.,,APROBADA_SEGUN_INFORME
v2-final,175,Velocidad de reacción,2,2,MANTENER,FIS,Velocidad de reacción,,,,,ALTA,APROBADO,Capacidad física específica y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,176,Trabajo de velocidad de reacción,2,2,UNIFICAR,FIS,Velocidad de reacción,,,,,ALTA,APROBADO,Se elimina Trabajo de conservando la capacidad exacta.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,177,Trabajo de velocidad de desplazamiento,2,2,UNIFICAR,FIS,Velocidad de desplazamiento,,,,,ALTA,APROBADO,Se elimina Trabajo de conservando la capacidad exacta.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,179,Trabajo técnico,1,1,UNIFICAR,TEC,Técnica general,,,,,ALTA,APROBADO,Se elimina Trabajo de; no implica migrar automáticamente el objetivo ambiguo Técnica.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,181,Equilibrio,1,2,MANTENER,CP,Equilibrio,,,,,ALTA,APROBADO,Capacidad coordinativa válida y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
